"Var1","Freq"
"",13895
"United States",4524
"China",2836
"EU",713
"Canada",619
"Brazil",533
"Germany",467
"United Kingdom",446
"Australia",356
"Singapore",325
"South Korea",256
"Sweden",202
"Japan",194
"Switzerland",163
"Hong Kong (China)",159
"Spain",145
"Italy",142
"Luxembourg",132
"Ireland",102
"Norway",92
"Austria",70
"Portugal",64
"France",62
"Finland",60
"Netherlands",50
"Belgium",41
"Argentina",38
"Israel",36
"ASIA",21
"India",21
"Saudi Arabia",18
"Taiwan",17
"Lebanon",14
"Estonia",13
"Denmark",12
"Russia",12
"Hungary",11
"New Zealand",11
"Czech Republic",10
"Poland",10
"Pakistan",9
"Turkey",9
"Chile",8
"GLOBAL",8
"Greece",8
"Mexico",7
"Macau",6
"Costa Rica",5
"Israel-United States",5
"Malaysia",5
"Slovenia",5
"Vietnam",5
"Benin",4
"GLOBAL??",4
"Thailand",4
"Ecuador",3
"Germany-Israel",3
"AMERICA",2
"Bangladesh",2
"Brunei",2
"Egypt",2
"Kuwait",2
"Mozambique",2
"Slovakia",2
"Sri Lanka",2
"United Arab Emirates",2
"Esthonia",1
"Hungrary",1
"Indonesia",1
"Jordan",1
"Latvia",1
"Philippines",1
"Solomon Islands ",1
"South Africa",1
