"Var1","Freq"
"",438
"National Natural Science Foundation of China",16
"European Commission",14
"Engineering and Physical Sciences Research Council",13
"Science Foundation Ireland",13
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico",8
"National Key Research and Development Program of China",8
"Natural Sciences and Engineering Research Council of Canada",8
"Norges forskningsrad",8
"Bundesministerium fuer Bildung und Forschung",6
"Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior",6
"Instituto Nacional de Ciencia e Tecnologia para Engenharia de Software",4
"ITEA",4
"National Science Foundation",4
"Academy of Finland",3
"Australian Research Council",3
"Austrian Science Fund",3
"European Regional Development Fund",3
"King Fahd University of Petroleum and Minerals",3
"Swedish Research Council",3
"Australian Government",2
"Deutsche Forschungsgemeinschaft",2
"Eesti Teadusagentuur",2
"Estonian Research Council",2
"Frostburg State University",2
"Fundacao de Amparo a Ciencia e Tecnologia do Estado de Pernambuco",2
"Fundacao de Amparo a Pesquisa do Estado de Sao Paulo",2
"Helmholtz-Gemeinschaft",2
"Japan Society for the Promotion of Science",2
"Javna Agencija za Raziskovalno Dejavnost RS",2
"Jiangsu Provincial Key Research and Development Program",2
"Knowledge Foundation in Sweden",2
"Meta",2
"Ministerio de Economia y Competitividad",2
"Royal Society of New Zealand",2
"Schweizerischer Nationalfonds zur Foerderung der Wissenschaftlichen Forschung",2
"Stiftelsen foer Strategisk Forskning",2
"Universita degli Studi dell'Insubria",2
"University of Limerick",2
"Vinnova",2
"Agencia de Gestio d'Ajuts Universitaris i de Recerca",1
"Alberta Innovates",1
"Alfred P. Sloan Foundation",1
"Brunel University London",1
"Bundesministerium fuer Wirtschaft und Energie",1
"Canadian Institute for Advanced Research",1
"China Scholarship Council",1
"Enterprise Ireland",1
"European Social Fund",1
"Fonds De La Recherche Scientifique",1
"Fonds de Recherche du Quebec",1
"Fonds National de la Recherche Luxembourg",1
"Fonds Wetenschappelijk Onderzoek",1
"Fundacao Amazonia Paraense de Amparo a Pesquisa",1
"Fundacao de Amparo a Pesquisa do Estado da Bahia",1
"Fundamental Research Funds for the Central Universities",1
"Guangxi Key Laboratory of Multi-Source Information Mining and Security",1
"Hessisches Ministerium fuer Wissenschaft und Kunst",1
"Industrial Excellence Center Embedded Applications Software Engineering",1
"Innovate UK",1
"Japan Science and Technology Agency/Corporation",1
"Johnson and Johnson",1
"Junta de Comunidades de Castilla-La Mancha",1
"King Saud University",1
"Lawson Foundation",1
"Microsoft",1
"Ministerio de Ciencia, Innovacion y Universidades",1
"Ministerium fuer Wissenschaft, Forschung und Kunst Baden-Wuerttemberg",1
"Ministero dell'struzione, dell'Universita e della Ricerca",1
"Ministry of Education, Culture, Sports, Science and Technology",1
"Narodowe Centrum Badan I Rozwoju",1
"Nassau County Department of Social Services",1
"National Cancer Institute",1
"National Heart, Lung, and Blood Institute",1
"Natural Science Foundation of Anhui Province",1
"Natural Science Foundation of Guangxi Province",1
"Natural Science Foundation of Hunan Province",1
"Nederlandse Organisatie voor Wetenschappelijk Onderzoek",1
"Prague University of Economics and Business",1
"Samsung",1
"Science University of Malaysia",1
"Scientific Research Foundation for Returned Scholars",1
"Southampton Solent University",1
"Swiss Group for Software Engineering",1
"U.S. Public Health Service",1
"Universidad de las Fuerzas Armadas ESPE",1
"Universidade de Pernambuco",1
"University of Jyvaeskylae",1
"University of Miami Libraries",1
"University of Texas at Austin",1
"University of the Basque Country",1
"Xunta de Galicia",1
