ABSTRACT,AUTHORKEYWORDS,AUTHORS,BOOKTITLE,DOI,FUNDINGDETAILS,FUNDINGDETAILSCOUNTRY,FUNDINGTEXT,KEYWORDS,NOTE,TITLE,VENUE,YEAR,SOURCE,TYPE
"Repairing design models is a laborious task that requires a considerable amount of time and effort from developers. Repair recommendation (RR) approaches focus on reducing the effort and improving the quality of the repairs performed. Such approaches have been evaluated in terms of scalability, correctness, and minimalism. These evaluations, however, have not investigated how developers can benefit from using RRs and how they perceive the difficulty of applying RRs. Investigating and discussing the use of RRs from the developers' perspective is important to demonstrate the benefits of applying such approaches in practice. We explore this opportunity by conducting a controlled experiment carried out with 24 developers where they repaired UML design models in eight different tasks, with and without RRs. The findings indicate that developers can benefit from RRs in complex tasks by improving their effectiveness and efficiency. The results also evidence that the use of RRs does not impact the developers' perceived difficulty and confidence when repairing models. Furthermore, our findings show that not all developers choose the same RR, but rather, have varied preferences. Thus, the provision of RRs leads to developers considering additional alternatives to repair an inconsistency. © 2023 ACM.",Consistency Checking;  Controlled Experiment;  Repair Recommendations,"Marchezan, L. and Assuncao, W.K.G. and Michelon, G.K. and Egyed, A.",,10.1145/3593434.3593482,Austrian Science Fund,Austria,"This research has been funded by the Austrian Science Fund (FWF, P31989-N31), by the FFG-COMET-K1 Center “Pro2Future”, (881844), and by the LIT Secure and Correct System Lab funded by the State of Upper Austria.","Repair, Complex task;  Consistency checking;  Controlled experiment;  Design models;  Effectiveness and efficiencies;  Perceived difficulties;  Repair recommendation;  UML design, Software engineering",cited By 0,Do Developers Benefit from Recommendations when Repairing Inconsistent Design Models? a Controlled Experiment,ACM International Conference Proceeding Series,2023,EASE,conf
"Technical debt is often the result of Short Run decisions made during code development, which can lead to long-term maintenance costs and risks. Hence, evaluating the progression of a project and understanding related code quality aspects is essential. Fortunately, the prioritization process for addressing technical debt can be expedited with code analysis tools like the established SonarQube. Unfortunately, we experienced some limitations with this tool and have had some requirements from the industry that were not yet addressed. Through this experience report and the analysis of scientific papers, this work contributes: (1) a reassessment of technical debt within the industry, (2) considers the benefits of employing SonarQube as well as its limitations when evaluating and prioritizing technical debt, (3) introduces a novel tool named SoHist which addresses these limitations and offers additional features for the assessment and prioritization of technical debt, and (4) exemplifies the usage of this tool in two industrial settings in the ITEA3 SmartDelta project. © 2023 Owner/Author.",software quality evolution;  SoHist;  SonarQube;  technical debt,"Dornauer, B. and Felderer, M. and Weinzerl, J. and Racasan, M.-C. and Hess, M.",,10.1145/3593434.3593460,Bundesministerium fuer Bildung und Forschung,Germany,,"Quality control, Code analysis;  Code development;  Long-term maintenances;  Maintenance cost;  Short runs;  Software Quality;  Software quality evolution;  Sohist;  Sonarqube;  Technical debts, Computer software selection and evaluation",cited By 1,SoHist: A Tool for Managing Technical Debt through Retro Perspective Code Analysis,ACM International Conference Proceeding Series,2023,EASE,conf
"CONTEXT: Self-efficacy is a concept researched in various areas of knowledge that impacts various factors such as performance, satisfaction, and motivation. In Software Engineering, it has mainly been studied in the academic context, presenting results similar to other areas of knowledge. However, it is also important to understand its impact in the industrial context. OBJECTIVE: Therefore, this study aims to understand the impact on the software development context with a focus on understanding the behavioral signs of self-efficacy in software engineers and how self-efficacy can impact the work-day of software engineers. METHOD: A qualitative research was conducted using semi-structured questionnaires with 31 interviewees from a software development company located in Brazil. The interviewees participated in a Bootcamp and were later assigned to software development teams. Thematic analysis was used to analyze the data. RESULTS: In the perception of the interviewees, 21 signs were found that are related to people with high and low self-efficacy. These signs were divided into two dimensions: social and cognitive. Also, 18 situations were found that can lead to an increase or decrease of self-efficacy of software engineers. Finally, 12 factors were mentioned that can impact software development teams. CONCLUSION: This work evidences a set of behavioral signs that can help team leaders to better perceive the self-efficacy of their members. It also presents a set of situations that both leaders and individuals can use to improve their self-efficacy in the development context, and finally, factors that can be impacted by self-efficacy in the software development context are also presented. Finally, this work emphasizes the importance of understanding self-efficacy in the industrial context. © 2023 ACM.",,"Ribeiro, D. and Lima, R. and Franca, C. and Souza, A. and Silva, I. and Pinto, G.",,10.1145/3593434.3593467,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,Brazil,,"Engineering research;  Software design, Engineering industries;  Industrial context;  Interview study;  Performance;  Qualitative research;  Self efficacy;  Semi-structured;  Software development teams;  Thematic analysis;  Two-dimensions, Engineers",cited By 0,Understanding Self-Efficacy in Software Engineering Industry: An Interview study,ACM International Conference Proceeding Series,2023,EASE,conf
"Mobile app development frameworks lower the effort to write and deploy apps across different execution platforms. At the same time, their use may limit native optimizations and impose overhead, increasing resource usage. In this paper, we analyze the resource usage of Android benchmarks and apps based on three mobile app development frameworks, Flutter, React Native, and Ionic, comparing them to functionally equivalent, native variants written in Java. These frameworks, besides being in widespread use, represent three different approaches for developing multiplatform apps: Flutter supports the deployment of apps that are compiled and run fully natively, React Native runs interpreted JavaScript code combined with native views for different platforms, and Ionic is based on web apps, which means that it does not depend on platform-specific details. We measure the energy consumption, execution time, and memory usage of ten optimized, CPU-intensive benchmarks, to gauge overhead in a controlled manner, and two applications, to measure their impact when running commonly mobile app functionalities. Our results show that cross-platform and hybrid frameworks can be competitive in CPU-intensive applications. In five of the ten benchmarks, at least one framework-based version exhibits lower energy consumption and execution time than its native counterpart, up to a reduction of 81% in energy and 83% in execution time. Furthermore, in three other benchmarks, framework-based and native versions achieved similar results. Overall, Flutter, usually imposes the least overhead in execution time and energy, while React Native imposes the highest in all the benchmarks. However, in an app that continuously animates multiple images on the screen, without interaction, the React Native version uses the least CPU and energy, up to a reduction of 96% in energy compared to the second-best framework-based version. These findings highlight the importance of analyzing expected application behavior before committing to a specific framework. © 2023 ACM.",,"Oliveira, W. and Moraes, B. and Castor, F. and Fernandes, J.P.",,10.1145/3593434.3593487,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,Brazil,,"Benchmarking;  Flutter (aerodynamics), % reductions;  CPU-intensive;  Development frameworks;  Energy;  Execution platforms;  Javascript;  Mobile app;  Multi-platform;  Optimisations;  Resource usage, Energy utilization",cited By 1,Analyzing the Resource Usage Overhead of Mobile App Development Frameworks,ACM International Conference Proceeding Series,2023,EASE,conf
"This research explores the challenges in agile contract modeling for software innovation projects, particularly for outsourced projects. Literature has presented various methods and frameworks for agile contract management, but there is still a gap in effectively establishing the best contract approach for each project based on specific conditions. This work aims to contribute with a framework definition that effectively applies practical approaches for contract deployment suitable for software innovation projects, considering the best contractual practices related to projects specific context. The study will conduct an action research at CESAR, a prominent Brazilian Institute of Science and Technology (ICT) with 1200 employees and 26 years old, to establish effective agile contract models and its implementation that better support agile management and project success. The study hopes to contribute to understanding the relationship between the type of contract and project outcomes and to provide better agile contract implementation for software innovation projects developed by outsourced companies. © 2023 ACM.",Agile contracts;  Agile project management;  Pricing and contract design;  Software project management,"Gomes, A.",,10.1145/3593434.3593473,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,Brazil,,"Human resource management;  Project management;  Software engineering, Agile contract;  Agile project management;  Contract design;  Contract management;  Innovation programs;  Outsourced projects;  Pricing and contract design;  Project-based;  Software innovations;  Software project management, Costs",cited By 0,Effective Agile Contracts Framework for Software Innovation Projects,ACM International Conference Proceeding Series,2023,EASE,conf
"This research explores the challenges in agile contract modeling for software innovation projects, particularly for outsourced projects. Literature has presented various methods and frameworks for agile contract management, but there is still a gap in effectively establishing the best contract approach for each project based on specific conditions. This work aims to contribute with a framework definition that effectively applies practical approaches for contract deployment suitable for software innovation projects, considering the best contractual practices related to projects specific context. The study will conduct an action research at CESAR, a prominent Brazilian Institute of Science and Technology (ICT) with 1200 employees and 26 years old, to establish effective agile contract models and its implementation that better support agile management and project success. The study hopes to contribute to understanding the relationship between the type of contract and project outcomes and to provide better agile contract implementation for software innovation projects developed by outsourced companies. © 2023 ACM.",Agile contracts;  Agile project management;  Pricing and contract design;  Software project management,"Gomes, A.",,10.1145/3593434.3593473,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,Brazil,"This work is partially supported by INES 2.0 (www.ines.org.br), CNPq grant 465614/2014-0, FACEPE grants APQ-0399-1.03/17 and APQ/0388-1.03/14, CAPES grant 88887.136410/2017-00.","Human resource management;  Project management;  Software engineering, Agile contract;  Agile project management;  Contract design;  Contract management;  Innovation programs;  Outsourced projects;  Pricing and contract design;  Project-based;  Software innovations;  Software project management, Costs",cited By 0,Effective Agile Contracts Framework for Software Innovation Projects,ACM International Conference Proceeding Series,2023,EASE,conf
"Since internet applications have reached a satisfactory level of maturity, large information systems have been developed to manage and facilitate access to documents. Simultaneously, there was an enormous international effort to digitise documents, enabling access via the internet. This endeavour facilitated the access of researchers to extensive document repositories and libraries, while also aiding companies in organising their documents. Two decades later, these vast databases are reasonably clean and well-organised, although the software used to manage and feed them is gradually becoming obsolete. Therefore, it is imperative to continuously reengineer the software to maintain optimal functionality. Furthermore, after the initial effort to digitise documents and create the initial metadata, it is reasonable to augment the metadata information pertaining to the documents. As such, two necessities are apparent: improving support for reengineering legacy document information systems and enabling data model updates and schema evolution to accommodate new information. Our goal is to automate the reengineering process as a whole. © 2023 ACM.",automated development;  document information systems;  schema evolution;  software reengineering,"Ramos-Vidal, D.",,10.1145/3593434.3593436,European Commission,EU,,"Information management;  Information systems;  Information use;  Legacy systems;  Metadata, Automated development;  Document information systems;  Document repositories;  Internet application;  Legacy documents;  Metadata information;  Model updates;  Schema evolution;  Software reengineering, Reengineering",cited By 0,Reengineering legacy document information systems: Challenges and solutions,ACM International Conference Proceeding Series,2023,EASE,conf
"Architectural smells have been studied in the literature looking at several aspects, such as their impact on maintainability as a source of architectural debt, their correlations with code smells, and their evolution in the history of complex projects. The goal of this paper is to extend the study of architectural smells from a different perspective. We focus our attention on software performance, and we aim to quantify the impact of architectural smells as support to explain the root causes of system performance hindrances. Our method consists of a study design matching the occurrence of architectural smells with performance metrics. We exploit state-of-the-art tools for architectural smell detection, software performance profiling, and testing the systems under analysis. The removal of architectural smells generates new versions of systems from which we derive some observations on design changes improving/worsening performance metrics. Our experimentation considers two complex open-source projects, and results show that the detection and removal of two common types of architectural smells yield lower response time (up to ) with a large effect size, i.e., for - of the hotspot methods. The median memory consumption is also lower (up to ) with a large effect size for all the services. © 2023 ACM.",Architectural Smells;  Software Architecture;  Software Performance,"Arcelli Fontana, F. and Camilli, M. and Rendina, D. and Taraboi, A.G. and Trubiani, C.",,10.1145/3593434.3593442,European Commission,EU,"We thank the anonymous reviewers for their valuable feedback. We acknowledge the support of MUR PRIN project 2017TWRCNB SEDUCE, and the PNRR MUR project VITALITY (ECS00000041) Spoke 2 ASTRA - Advanced Space Technologies and Research Alliance.","Odors;  Open source software, Architectural smell;  Code smell;  Complex programs;  Effect size;  Exploratory studies;  Performance metrices;  Root cause;  Software performance;  Study design;  Systems performance, Software testing",cited By 0,Impact of Architectural Smells on Software Performance: An Exploratory Study,ACM International Conference Proceeding Series,2023,EASE,conf
"Context. WebAssembly (WASM) is a low-level bytecode format that is gaining traction among Internet of Things (IoT) devices. Because of IoT devices' resources limitations, using WASM is becoming a popular technique for virtualization on IoT devices. However, it is unclear if the promises of WASM regarding its efficient use of energy and performance gains hold true. Goal. This study aims to determine how different source programming languages and runtime environments affect the energy consumption and performance of WASM binaries. Method. We perform a controlled experiment where we compile three benchmarking algorithms from four different programming languages (i.e., C, Rust, Go, and JavaScript) to WASM and run them using two different WASM runtimes on a Raspberry Pi 3B. Results. The source programming language significantly influences the performance and energy consumption of WASM binaries. We did not find evidence of the impact of the runtime environment. However, certain combinations of source programming language and runtime environment leads to a significant improvement of its energy consumption and performance. Conclusions. IoT developers should choose the source programming language wisely to benefit from better performance and a reduction in energy consumption. Specifically, Javy-compiled JavaScript should be avoided, while C and Rust are better options. We found no conclusive results for the choice of the WASM runtime. © 2023 ACM.",,"Wagner, L. and Mayer, M. and Marino, A. and Soldani Nezhad, A. and Zwaan, H. and Malavolta, I.",,10.1145/3593434.3593454,European Commission,EU,This project is partially supported by (i) the European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 871342 “uDEVOPS” and (ii) the Individual Travel Grant of the Amsterdam University Fund.,"C (programming language);  Internet of things, Bytecodes;  Device resources;  Energy performance;  Energy-consumption;  Javascript;  Language environment;  Performance;  Resource limitations;  Runtime environments;  Runtimes, Energy utilization",cited By 0,On the Energy Consumption and Performance of WebAssembly Binaries across Programming Languages and Runtimes in IoT,ACM International Conference Proceeding Series,2023,EASE,conf
"Mobile app development frameworks lower the effort to write and deploy apps across different execution platforms. At the same time, their use may limit native optimizations and impose overhead, increasing resource usage. In this paper, we analyze the resource usage of Android benchmarks and apps based on three mobile app development frameworks, Flutter, React Native, and Ionic, comparing them to functionally equivalent, native variants written in Java. These frameworks, besides being in widespread use, represent three different approaches for developing multiplatform apps: Flutter supports the deployment of apps that are compiled and run fully natively, React Native runs interpreted JavaScript code combined with native views for different platforms, and Ionic is based on web apps, which means that it does not depend on platform-specific details. We measure the energy consumption, execution time, and memory usage of ten optimized, CPU-intensive benchmarks, to gauge overhead in a controlled manner, and two applications, to measure their impact when running commonly mobile app functionalities. Our results show that cross-platform and hybrid frameworks can be competitive in CPU-intensive applications. In five of the ten benchmarks, at least one framework-based version exhibits lower energy consumption and execution time than its native counterpart, up to a reduction of 81% in energy and 83% in execution time. Furthermore, in three other benchmarks, framework-based and native versions achieved similar results. Overall, Flutter, usually imposes the least overhead in execution time and energy, while React Native imposes the highest in all the benchmarks. However, in an app that continuously animates multiple images on the screen, without interaction, the React Native version uses the least CPU and energy, up to a reduction of 96% in energy compared to the second-best framework-based version. These findings highlight the importance of analyzing expected application behavior before committing to a specific framework. © 2023 ACM.",,"Oliveira, W. and Moraes, B. and Castor, F. and Fernandes, J.P.",,10.1145/3593434.3593487,European Regional Development Fund,EU,,"Benchmarking;  Flutter (aerodynamics), % reductions;  CPU-intensive;  Development frameworks;  Energy;  Execution platforms;  Javascript;  Mobile app;  Multi-platform;  Optimisations;  Resource usage, Energy utilization",cited By 1,Analyzing the Resource Usage Overhead of Mobile App Development Frameworks,ACM International Conference Proceeding Series,2023,EASE,conf
