"Var1","Freq"
"",728
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico",31
"National Natural Science Foundation of China",24
"National Science Foundation",22
"Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior",18
"European Commission",13
"Fundacao de Amparo a Ciencia e Tecnologia do Estado de Pernambuco",10
"Natural Sciences and Engineering Research Council of Canada",9
"Instituto Nacional de Ciencia e Tecnologia para Engenharia de Software",8
"Engineering and Physical Sciences Research Council",7
"Fundacao de Amparo a Pesquisa do Estado de Sao Paulo",7
"Australian Government",5
"Deutsche Forschungsgemeinschaft",5
"National Key Research and Development Program of China",5
"Schweizerischer Nationalfonds zur Foerderung der Wissenschaftlichen Forschung",5
"Blekinge Tekniska Hoegskola",4
"Bundesministerium fuer Bildung und Forschung",4
"Fundamental Research Funds for the Central Universities",3
"Jet Propulsion Laboratory",3
"National Aeronautics and Space Administration",3
"Natural Science Foundation of Hubei Province",3
"Science Foundation Ireland",3
"Vinnova",3
"Alberta Innovates",2
"Australian Research Council",2
"California Institute of Technology",2
"Chinese Academy of Sciences",2
"Defense Advanced Research Projects Agency",2
"Excellence Center at Linkoeping",2
"Fonds National de la Recherche Luxembourg",2
"Fundacao Amazonia Paraense de Amparo a Pesquisa",2
"Fundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio de Janeiro",2
"Fundacao de Amparo a Pesquisa do Estado de Minas Gerais",2
"Fundacao de Amparo i Pesquisa do Estado do Amazonas",2
"Hessisches Ministerium fuer Wissenschaft und Kunst",2
"ITEA",2
"Japan Society for the Promotion of Science",2
"Knowledge Foundation in Sweden",2
"Ministero dell'struzione, dell'Universita e della Ricerca",2
"National Security Agency",2
"Natural Science Foundation of Jiangsu Province",2
"Norges forskningsrad",2
"University of Saskatchewan",2
" Knowledge Innovation Program of Wuhan-Shuguang",1
"Academy of Finland",1
"Bayerisches Staatsministerium fuer Wissenschaft und Kunst",1
"Bundesministerium fuer Wirtschaft und Energie",1
"Canada First Research Excellence Fund",1
"Canada Foundation for Innovation",1
"Chongqing Research Program of Basic Research and Frontier Technology",1
"Cisco Systems",1
"City University of Hong Kong",1
"Commonwealth Scientific and Industrial Research Organisation",1
"Computing Research Association",1
"Digital, Internet, Materials and Engineering Co-Creation",1
"Dutch Research Council",1
"Estonian Research Council",1
"European Regional Development Fund",1
"European Research Consortium for Informatics and Mathematics",1
"European Space Agency",1
"Fundacao de Amparo a Pesquisa do Estado de Alagoas",1
"Fundacao de Amparo a Pesquisa do Estado do Rio Grande do Sul",1
"Fundacao de Apoio a Pesquisa do Distrito Federal",1
"Georgia Research Alliance",1
"IBO Technology (Shenzhen) Co., Ltd",1
"International Business Machines Corporation",1
"Junta de Andalucia",1
"Key Research and Development Program of Zhejiang Province",1
"King Saud University",1
"Leibniz Information Centre for Science and Technology",1
"MBIE Endeavour Fund",1
"Microsoft",1
"Ministerio da Ciencia, Tecnologia e Inovacao",1
"Ministerio de Ciencia, Innovacion y Universidades",1
"Ministerio de Economia y Competitividad",1
"Ministry of Posts, Telecommunications and Information Technology",1
"Ministry of Science, ICT and Future Planning",1
"National Institute of Informatics",1
"National Research Foundation of Korea",1
"National Science Centre, Poland",1
"Natural Science Foundation of Shandong Province",1
"Natural Science Foundation of Zhejiang Province",1
"North Carolina State University",1
"Office of Naval Research",1
"Oregon State University",1
"Oulun Yliopisto",1
"Research Grants Council of Hong Kong",1
"Samsung",1
"Secretariat general pour l'investissement",1
"Sichuan Province Science and Technology Support Program",1
"Small Business Innovation Research",1
"Society for Pediatric Pathology",1
"Southwest Minzu University",1
"State Key Laboratory of Software Engineering",1
"Suomen Akatemia",1
"Tekes",1
"Tsinghua University",1
"U.S. Department of Defense",1
"U.S. Department of Energy",1
"Universidade de Sao Paulo",1
"Universidade Federal do Piaui",1
"Universita degli Studi dell'Aquila",1
"University of Adelaide",1
"University of Gothenburg",1
"University of Hong Kong",1
"University of Southampton",1
"Volvo Cars",1
