ABSTRACT,AUTHORKEYWORDS,AUTHORS,BOOKTITLE,DOI,FUNDINGDETAILS,FUNDINGDETAILSCOUNTRY,FUNDINGTEXT,KEYWORDS,NOTE,TITLE,VENUE,YEAR,SOURCE,TYPE
"Background: Test smells indicate potential problems in the design and implementation of automated software tests that may negatively impact test code maintainability, coverage, and reliability. When poorly described, manual tests written in natural language may suffer from related problems, which enable their analysis from the point of view of test smells. Despite the possible prejudice to manually tested software products, little is known about test smells in manual tests, which results in many open questions regarding their types, frequency, and harm to tests written in natural language. Aims: Therefore, this study aims to contribute to a catalog of test smells for manual tests. Method: We perform a two-fold empirical strategy. First, an exploratory study in manual tests of three systems: the Ubuntu Operational System, the Brazilian Electronic Voting Machine, and the User Interface of a large smartphone manufacturer. We use our findings to propose a catalog of eight test smells and identification rules based on syntactical and morphological text analysis, validating our catalog with 24 in-company test engineers. Second, using our proposals, we create a tool based on Natural Language Processing (NLP) to analyze the subject systems' tests, validating the results. Results: We observed the occurrence of eight test smells. A survey of 24 in-company test professionals showed that 80.7% agreed with our catalog definitions and examples. Our NLP-based tool achieved a precision of 92%, recall of 95%, and f-measure of 93.5%, and its execution evidenced 13,169 occurrences of our cataloged test smells in the analyzed systems. Conclusion: We contribute with a catalog of natural language test smells and novel detection strategies that better explore the capabilities of current NLP mechanisms with promising results and reduced effort to analyze tests written in different idioms. © 2023 IEEE.",Manual Tests;  Natural Language Processing;  Software/Program Verification;  Test Design;  Test Smells,"Soares, E. and Aranda, M. and Oliveira, N. and Ribeiro, M. and Gheyi, R. and Souza, E. and MacHado, I. and Santos, A. and Fonseca, B. and Bonifacio, R.",,10.1109/ESEM56168.2023.10304800,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,Brazil,"We thank the Brazilian Superior Electoral Court (TSE) and our industrial partner for kindly allowing their tests to be analyzed in our study. This research was partially funded by CNPq grants 312195/2021-4, 421306/2018-1, 310313/2022-8; and FAPEAL grants 60030.0000000462/2020 and 60030.0000000161/2022. Also, this work is partially supported by INES (National Institute of Software Engineering): CNPq grant 465614/2014-0, CAPES grant 88887.136410/2017-00, and FACEPE grants APQ-0399-1.03/17 and PRONEX APQ/0388-1.03/14.","Natural language processing systems;  Software reliability;  User interfaces;  Verification, Design and implementations;  Language processing;  Manual tests;  Natural language processing;  Natural languages;  Potential problems;  Software/program verification;  Test code;  Test designs;  Test smell, Software testing",cited By 0,Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Test smells indicate potential problems in the design and implementation of automated software tests that may negatively impact test code maintainability, coverage, and reliability. When poorly described, manual tests written in natural language may suffer from related problems, which enable their analysis from the point of view of test smells. Despite the possible prejudice to manually tested software products, little is known about test smells in manual tests, which results in many open questions regarding their types, frequency, and harm to tests written in natural language. Aims: Therefore, this study aims to contribute to a catalog of test smells for manual tests. Method: We perform a two-fold empirical strategy. First, an exploratory study in manual tests of three systems: the Ubuntu Operational System, the Brazilian Electronic Voting Machine, and the User Interface of a large smartphone manufacturer. We use our findings to propose a catalog of eight test smells and identification rules based on syntactical and morphological text analysis, validating our catalog with 24 in-company test engineers. Second, using our proposals, we create a tool based on Natural Language Processing (NLP) to analyze the subject systems' tests, validating the results. Results: We observed the occurrence of eight test smells. A survey of 24 in-company test professionals showed that 80.7% agreed with our catalog definitions and examples. Our NLP-based tool achieved a precision of 92%, recall of 95%, and f-measure of 93.5%, and its execution evidenced 13,169 occurrences of our cataloged test smells in the analyzed systems. Conclusion: We contribute with a catalog of natural language test smells and novel detection strategies that better explore the capabilities of current NLP mechanisms with promising results and reduced effort to analyze tests written in different idioms. © 2023 IEEE.",Manual Tests;  Natural Language Processing;  Software/Program Verification;  Test Design;  Test Smells,"Soares, E. and Aranda, M. and Oliveira, N. and Ribeiro, M. and Gheyi, R. and Souza, E. and MacHado, I. and Santos, A. and Fonseca, B. and Bonifacio, R.",,10.1109/ESEM56168.2023.10304800,Fundacao de Amparo a Pesquisa do Estado de Alagoas,Brazil,,"Natural language processing systems;  Software reliability;  User interfaces;  Verification, Design and implementations;  Language processing;  Manual tests;  Natural language processing;  Natural languages;  Potential problems;  Software/program verification;  Test code;  Test designs;  Test smell, Software testing",cited By 0,Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Test smells indicate potential problems in the design and implementation of automated software tests that may negatively impact test code maintainability, coverage, and reliability. When poorly described, manual tests written in natural language may suffer from related problems, which enable their analysis from the point of view of test smells. Despite the possible prejudice to manually tested software products, little is known about test smells in manual tests, which results in many open questions regarding their types, frequency, and harm to tests written in natural language. Aims: Therefore, this study aims to contribute to a catalog of test smells for manual tests. Method: We perform a two-fold empirical strategy. First, an exploratory study in manual tests of three systems: the Ubuntu Operational System, the Brazilian Electronic Voting Machine, and the User Interface of a large smartphone manufacturer. We use our findings to propose a catalog of eight test smells and identification rules based on syntactical and morphological text analysis, validating our catalog with 24 in-company test engineers. Second, using our proposals, we create a tool based on Natural Language Processing (NLP) to analyze the subject systems' tests, validating the results. Results: We observed the occurrence of eight test smells. A survey of 24 in-company test professionals showed that 80.7% agreed with our catalog definitions and examples. Our NLP-based tool achieved a precision of 92%, recall of 95%, and f-measure of 93.5%, and its execution evidenced 13,169 occurrences of our cataloged test smells in the analyzed systems. Conclusion: We contribute with a catalog of natural language test smells and novel detection strategies that better explore the capabilities of current NLP mechanisms with promising results and reduced effort to analyze tests written in different idioms. © 2023 IEEE.",Manual Tests;  Natural Language Processing;  Software/Program Verification;  Test Design;  Test Smells,"Soares, E. and Aranda, M. and Oliveira, N. and Ribeiro, M. and Gheyi, R. and Souza, E. and MacHado, I. and Santos, A. and Fonseca, B. and Bonifacio, R.",,10.1109/ESEM56168.2023.10304800,Instituto Nacional de Ciencia e Tecnologia para Engenharia de Software,Brazil,,"Natural language processing systems;  Software reliability;  User interfaces;  Verification, Design and implementations;  Language processing;  Manual tests;  Natural language processing;  Natural languages;  Potential problems;  Software/program verification;  Test code;  Test designs;  Test smell, Software testing",cited By 0,Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Test smells indicate potential problems in the design and implementation of automated software tests that may negatively impact test code maintainability, coverage, and reliability. When poorly described, manual tests written in natural language may suffer from related problems, which enable their analysis from the point of view of test smells. Despite the possible prejudice to manually tested software products, little is known about test smells in manual tests, which results in many open questions regarding their types, frequency, and harm to tests written in natural language. Aims: Therefore, this study aims to contribute to a catalog of test smells for manual tests. Method: We perform a two-fold empirical strategy. First, an exploratory study in manual tests of three systems: the Ubuntu Operational System, the Brazilian Electronic Voting Machine, and the User Interface of a large smartphone manufacturer. We use our findings to propose a catalog of eight test smells and identification rules based on syntactical and morphological text analysis, validating our catalog with 24 in-company test engineers. Second, using our proposals, we create a tool based on Natural Language Processing (NLP) to analyze the subject systems' tests, validating the results. Results: We observed the occurrence of eight test smells. A survey of 24 in-company test professionals showed that 80.7% agreed with our catalog definitions and examples. Our NLP-based tool achieved a precision of 92%, recall of 95%, and f-measure of 93.5%, and its execution evidenced 13,169 occurrences of our cataloged test smells in the analyzed systems. Conclusion: We contribute with a catalog of natural language test smells and novel detection strategies that better explore the capabilities of current NLP mechanisms with promising results and reduced effort to analyze tests written in different idioms. © 2023 IEEE.",Manual Tests;  Natural Language Processing;  Software/Program Verification;  Test Design;  Test Smells,"Soares, E. and Aranda, M. and Oliveira, N. and Ribeiro, M. and Gheyi, R. and Souza, E. and MacHado, I. and Santos, A. and Fonseca, B. and Bonifacio, R.",,10.1109/ESEM56168.2023.10304800,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,Brazil,,"Natural language processing systems;  Software reliability;  User interfaces;  Verification, Design and implementations;  Language processing;  Manual tests;  Natural language processing;  Natural languages;  Potential problems;  Software/program verification;  Test code;  Test designs;  Test smell, Software testing",cited By 0,Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Test smells indicate potential problems in the design and implementation of automated software tests that may negatively impact test code maintainability, coverage, and reliability. When poorly described, manual tests written in natural language may suffer from related problems, which enable their analysis from the point of view of test smells. Despite the possible prejudice to manually tested software products, little is known about test smells in manual tests, which results in many open questions regarding their types, frequency, and harm to tests written in natural language. Aims: Therefore, this study aims to contribute to a catalog of test smells for manual tests. Method: We perform a two-fold empirical strategy. First, an exploratory study in manual tests of three systems: the Ubuntu Operational System, the Brazilian Electronic Voting Machine, and the User Interface of a large smartphone manufacturer. We use our findings to propose a catalog of eight test smells and identification rules based on syntactical and morphological text analysis, validating our catalog with 24 in-company test engineers. Second, using our proposals, we create a tool based on Natural Language Processing (NLP) to analyze the subject systems' tests, validating the results. Results: We observed the occurrence of eight test smells. A survey of 24 in-company test professionals showed that 80.7% agreed with our catalog definitions and examples. Our NLP-based tool achieved a precision of 92%, recall of 95%, and f-measure of 93.5%, and its execution evidenced 13,169 occurrences of our cataloged test smells in the analyzed systems. Conclusion: We contribute with a catalog of natural language test smells and novel detection strategies that better explore the capabilities of current NLP mechanisms with promising results and reduced effort to analyze tests written in different idioms. © 2023 IEEE.",Manual Tests;  Natural Language Processing;  Software/Program Verification;  Test Design;  Test Smells,"Soares, E. and Aranda, M. and Oliveira, N. and Ribeiro, M. and Gheyi, R. and Souza, E. and MacHado, I. and Santos, A. and Fonseca, B. and Bonifacio, R.",,10.1109/ESEM56168.2023.10304800,Fundacao de Amparo a Ciencia e Tecnologia do Estado de Pernambuco,Brazil,,"Natural language processing systems;  Software reliability;  User interfaces;  Verification, Design and implementations;  Language processing;  Manual tests;  Natural language processing;  Natural languages;  Potential problems;  Software/program verification;  Test code;  Test designs;  Test smell, Software testing",cited By 0,Manual Tests Do Smell! Cataloging and Identifying Natural Language Test Smells,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Bug dependencies refer to the link relationships between bugs and related issues, which are commonly observed in software evolution. It has been found that bugs with bug dependencies often take longer time to be resolved than other bugs without any dependencies. Despite the potential impact of bug dependencies on bug-fixing time, previous studies use traditional metrics without considering bug dependencies to build bug-fixing time prediction models. As a result, there is currently little empirical evidence to support the use of bug dependencies in improving prediction accuracy. Aims: We aim to conduct a comprehensive empirical study to investigate the value of considering bug dependencies for bug-fixing time prediction. Method: We define a set of bug dependency metrics based on bug dependencies. We first investigate the correlation between bug dependency metrics and bug-fixing time to investigate whether bugs with more complex dependencies are more time-consuming to be fixed. Next, we employ principal component analysis to study whether bug dependency metrics capture additional dimensions of a bug compared to traditional metrics. Finally, we build multivariate prediction models to explore whether considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Results: The experimental results suggest that: (1) bugs with more complex dependencies require more time to be fixed; (2) bug dependency metrics are complementary to traditional metrics; (3) considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Conclusions: These findings highlight the importance of considering bug dependencies in bug-fixing time prediction, and provide valuable insights into the potential impact of bug dependencies on software development processes. © 2023 IEEE.",bug dependency;  bug fixing;  bug-fixing time prediction;  network analysis,"Li, C. and Zhao, Y. and Yang, Y. and Zhou, Y. and Nie, L. and Ding, Z.",,10.1109/ESEM56168.2023.10304804,Natural Science Foundation of Zhejiang Province,China,"ACKNOWLEDGEMENT This work was supported by the National Nature Science Foundation of China (Grant No. 62132014, 62072194 and 62172205), and Zhejiang Provincial Key Research and Development Program of China (No.2022C01045) and Zhejiang Provincial Natural Science Foundation of China(No.LQ23F020020).","Complex networks;  Forecasting;  Program debugging;  Software design, Bug dependency;  Bug-fixing;  Bug-fixing time prediction;  Link relationships;  Potential impacts;  Prediction accuracy;  Prediction modelling;  Software Evolution;  Time predictions, Principal component analysis",cited By 0,Investigating the Impact of Bug Dependencies on Bug-Fixing Time Prediction,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Bug dependencies refer to the link relationships between bugs and related issues, which are commonly observed in software evolution. It has been found that bugs with bug dependencies often take longer time to be resolved than other bugs without any dependencies. Despite the potential impact of bug dependencies on bug-fixing time, previous studies use traditional metrics without considering bug dependencies to build bug-fixing time prediction models. As a result, there is currently little empirical evidence to support the use of bug dependencies in improving prediction accuracy. Aims: We aim to conduct a comprehensive empirical study to investigate the value of considering bug dependencies for bug-fixing time prediction. Method: We define a set of bug dependency metrics based on bug dependencies. We first investigate the correlation between bug dependency metrics and bug-fixing time to investigate whether bugs with more complex dependencies are more time-consuming to be fixed. Next, we employ principal component analysis to study whether bug dependency metrics capture additional dimensions of a bug compared to traditional metrics. Finally, we build multivariate prediction models to explore whether considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Results: The experimental results suggest that: (1) bugs with more complex dependencies require more time to be fixed; (2) bug dependency metrics are complementary to traditional metrics; (3) considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Conclusions: These findings highlight the importance of considering bug dependencies in bug-fixing time prediction, and provide valuable insights into the potential impact of bug dependencies on software development processes. © 2023 IEEE.",bug dependency;  bug fixing;  bug-fixing time prediction;  network analysis,"Li, C. and Zhao, Y. and Yang, Y. and Zhou, Y. and Nie, L. and Ding, Z.",,10.1109/ESEM56168.2023.10304804,Key Research and Development Program of Zhejiang Province,China,,"Complex networks;  Forecasting;  Program debugging;  Software design, Bug dependency;  Bug-fixing;  Bug-fixing time prediction;  Link relationships;  Potential impacts;  Prediction accuracy;  Prediction modelling;  Software Evolution;  Time predictions, Principal component analysis",cited By 0,Investigating the Impact of Bug Dependencies on Bug-Fixing Time Prediction,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: Bug dependencies refer to the link relationships between bugs and related issues, which are commonly observed in software evolution. It has been found that bugs with bug dependencies often take longer time to be resolved than other bugs without any dependencies. Despite the potential impact of bug dependencies on bug-fixing time, previous studies use traditional metrics without considering bug dependencies to build bug-fixing time prediction models. As a result, there is currently little empirical evidence to support the use of bug dependencies in improving prediction accuracy. Aims: We aim to conduct a comprehensive empirical study to investigate the value of considering bug dependencies for bug-fixing time prediction. Method: We define a set of bug dependency metrics based on bug dependencies. We first investigate the correlation between bug dependency metrics and bug-fixing time to investigate whether bugs with more complex dependencies are more time-consuming to be fixed. Next, we employ principal component analysis to study whether bug dependency metrics capture additional dimensions of a bug compared to traditional metrics. Finally, we build multivariate prediction models to explore whether considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Results: The experimental results suggest that: (1) bugs with more complex dependencies require more time to be fixed; (2) bug dependency metrics are complementary to traditional metrics; (3) considering bug dependencies can improve the effectiveness of bug-fixing time prediction. Conclusions: These findings highlight the importance of considering bug dependencies in bug-fixing time prediction, and provide valuable insights into the potential impact of bug dependencies on software development processes. © 2023 IEEE.",bug dependency;  bug fixing;  bug-fixing time prediction;  network analysis,"Li, C. and Zhao, Y. and Yang, Y. and Zhou, Y. and Nie, L. and Ding, Z.",,10.1109/ESEM56168.2023.10304804,National Natural Science Foundation of China,China,,"Complex networks;  Forecasting;  Program debugging;  Software design, Bug dependency;  Bug-fixing;  Bug-fixing time prediction;  Link relationships;  Potential impacts;  Prediction accuracy;  Prediction modelling;  Software Evolution;  Time predictions, Principal component analysis",cited By 0,Investigating the Impact of Bug Dependencies on Bug-Fixing Time Prediction,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background: According to GitGuardian's monitoring of public GitHub repositories, secrets sprawl continued accelerating in 2022 by 67% compared to 2021, exposing over 10 million secrets (API keys and other credentials). Though many open-source and proprietary secret detection tools are available, these tools output many false positives, making it difficult for developers to take action and teams to choose one tool out of many. To our knowledge, the secret detection tools are not yet compared and evaluated. Aims: The goal of our study is to aid developers in choosing a secret detection tool to reduce the exposure of secrets through an empirical investigation of existing secret detection tools. Method: We present an evaluation of five open-source and four proprietary tools against a benchmark dataset. Results: The top three tools based on precision are: GitHub Secret Scanner (75%), Gitleaks (46%), and Commercial X (25%), and based on recall are: Gitleaks (88%), SpectralOps (67%) and TruffleHog (52%). Our manual analysis of reported secrets reveals that false positives are due to employing generic regular expressions and ineffective entropy calculation. In contrast, false negatives are due to faulty regular expressions, skipping specific file types, and insufficient rulesets. Conclusions: We recommend developers choose tools based on secret types present in their projects to prevent missing secrets. In addition, we recommend tool vendors update detection rules periodically and correctly employ secret verification mechanisms by collaborating with API vendors to improve accuracy. © 2023 IEEE.",,"Basak, S.K. and Cox, J. and Reaves, B. and Williams, L.",,10.1109/ESEM56168.2023.10304853,National Science Foundation,United States,This work was supported by the National Science Foundation (NSF) 2055554 grant. The authors would also like to thank the Realsearch research group for their valuable input on this paper.,"Inspection equipment;  Pattern matching, Benchmark datasets;  Comparatives studies;  Detection tools;  Empirical investigation;  False negatives;  False positive;  File types;  Manual analysis;  Open-source;  Regular expressions, Open source software",cited By 0,A Comparative Study of Software Secrets Reporting by Secret Detection Tools,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
"Background. Automated test execution is an important activity to gather information about the quality of a software project. So-called flaky tests, however, negatively affect this process. Such tests fail seemingly at random without changes to the code and thus do not provide a clear signal. Previous work proposed to identify flaky tests based on the source code identifiers in the test code. So far, these approaches have not been evaluated in a large-scale industrial setting. Aims. We evaluate approaches to identify flaky tests and their root causes based on source code identifiers in the test code in a large-scale industrial project. Method. First, we replicate previous work by Pinto et al. in the context of SAP HANA. Second, we assess different feature extraction techniques, namely TF-IDF and TF-IDFC-RF. Third, we evaluate CodeBERT and XGBoost as classification models. For a sound comparison, we utilize both the data set from previous work and two data sets from SAP HANA. Results. Our replication shows similar results on the original data set and on one of the SAP HANA data sets. While the original approach yielded an F1-Score of 0.94 on the original data set and 0.92 on the SAP HANA data set, our extensions achieve F1-Scores of 0.96 and 0.99, respectively. The reliance on external data sources is a common root cause for test flakiness in the context of SAP HANA. Conclusions. The vocabulary of a large industrial project seems to be slightly different with respect to the exact terms, but the categories for the terms, such as remote dependencies, are similar to previous empirical findings. However, even with rather large F1-Scores, both finding source code identifiers for flakiness and a black box prediction have limited use in practice as the results are not actionable for developers. © 2023 IEEE.",machine learning;  regression testing;  software testing;  test flakiness,"Berndt, A. and Nochta, Z. and Bach, T.",,10.1109/ESEM56168.2023.10304860,,,,"Computer programming languages;  Machine learning, Data set;  F1 scores;  Large-scales;  Machine-learning;  Regression testing;  Root cause;  Software testings;  Source codes;  Test code;  Test flakiness, Software testing",cited By 0,The Vocabulary of Flaky Tests in the Context of SAP HANA,International Symposium on Empirical Software Engineering and Measurement,2023,ESEM,conf
