"Var1","Freq"
"",473
"National Natural Science Foundation of China",104
"National Science Foundation",57
"European Commission",48
"National Key Research and Development Program of China",35
"Australian Research Council",22
"Natural Sciences and Engineering Research Council of Canada",20
"National Research Foundation Singapore",18
"Engineering and Physical Sciences Research Council",17
"Fonds National de la Recherche Luxembourg",17
"Deutsche Forschungsgemeinschaft",14
"Monash University",13
"Nanjing University",12
"European Regional Development Fund",10
"Computing Research Association",9
"Japan Science and Technology Agency/Corporation",9
"Japan Society for the Promotion of Science",9
"Singapore Management University",9
"Zhejiang University",9
"Fundamental Research Funds for the Central Universities",8
"Ministry of Education - Singapore",8
"National Research Foundation of Korea",8
"Norges forskningsrad",8
"Research Grants Council of Hong Kong",8
"Natural Science Foundation of Jiangsu Province",7
"Office of Naval Research",7
"Peking University",7
"Schweizerischer Nationalfonds zur Foerderung der Wissenschaftlichen Forschung",7
"Ministry of Science, ICT and Future Planning",6
"Science Foundation Ireland",6
"Air Force Office of Scientific Research",5
"Chinese Academy of Sciences",5
"Huazhong University of Science and Technology",5
"Ministerio de Economia y Competitividad",5
"Ministero dell'struzione, dell'Universita e della Ricerca",5
"National University of Singapore",5
"UK Research and Innovation",5
"Australian National University",4
"Bundesministerium fuer Bildung und Forschung",4
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico",4
"Defense Advanced Research Projects Agency",4
"Excellent Young Scientists Fund",4
"Institute for Information and Communications Technology Promotion",4
"Ministerio de Ciencia, Innovacion y Universidades",4
"Nanjing University of Aeronautics and Astronautics",4
"Special Project for Research and Development in Key areas of Guangdong Province",4
"University of Birmingham",4
"University of Chinese Academy of Sciences",4
"Young Scientists Fund",4
"Beijing University of Posts and Telecommunications",3
"Carnegie Mellon University",3
"City University of Hong Kong",3
"Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior",3
"Guangdong Science and Technology Department",3
"International Business Machines Corporation",3
"Meta",3
"Natural Science Foundation of Guangdong Province",3
"North Carolina State University",3
"Shenzhen Peacock Plan",3
"State Key Laboratory of Novel Software Technology",3
"Swedish Research Council",3
"Tianjin University",3
"University of California",3
"University of California, Irvine",3
"University of Hong Kong",3
"Washington State University",3
"Advanced Research Projects Agency",2
"Agence Nationale de la Recherche",2
"Austrian Science Fund",2
"Basic and Applied Basic Research Foundation of Guangdong Province",2
"Blekinge Tekniska Hoegskola",2
"Canada Research Chairs",2
"Comision Interministerial de Ciencia y Tecnologia",2
"Comunidad de Madrid",2
"Directorate for Computer and Information Science and Engineering",2
"European Metrology Programme for Innovation and Research",2
"Federacion Espanola de Enfermedades Raras",2
"Hong Kong Polytechnic University",2
"Imperial College London",2
"Key Technology Research and Development Program of Shandong",2
"Knut och Alice Wallenbergs Stiftelse",2
"Nanyang Technological University",2
"National Aeronautics and Space Administration",2
"National Council for Scientific Research",2
"National Security Agency",2
"Natural Science Foundation of Chongqing",2
"Nvidia",2
"Oesterreichische Forschungsfoerderungsgesellschaft",2
"Shenzhen Fundamental Research Program",2
"Shenzhen Research and Development Program",2
"Shenzhen Science and Technology Innovation Commission",2
"Society for Pediatric Pathology",2
"Tsinghua University",2
"U.S. Department of Defense",2
"U.S. Department of Homeland Security",2
"University of Limerick",2
"University of Michigan",2
"University of Sheffield",2
"University of Texas at Dallas",2
"Aeronautical Science Foundation of China",1
"Aerospace Technology Institute",1
"Agencia Nacional de Promocion Cientifica y Tecnologica",1
"Air Force Research Laboratory",1
"Airbus",1
"Alexander von Humboldt-Stiftung",1
"Alfred P. Sloan Foundation",1
"Amazon",1
"American University of Beirut",1
"Andalusian Regional Government",1
"Anhui Provincial Department of Science and Technology",1
"Ant Group",1
"Army Research Office",1
"Asian Civilisations Museum",1
"Australian Government",1
"Basic Research Program of Jiangsu Province",1
"Beihang University",1
"Beijing National Research Center For Information Science And Technology",1
"Bundesministerium fuer Bildung, Wissenschaft und Forschung",1
"California State University",1
"Chalmers Tekniska Hogskola",1
"China Academy of Space Technology",1
"China Postdoctoral Science Foundation",1
"China University of Mining and Technology",1
"Cisco Systems",1
"Consejo Nacional de Investigaciones Cientificas y Tecnicas",1
"Consiglio Nazionale delle Ricerche",1
"Dalhousie University",1
"Department of Education, Universities and Research of the Basque Country",1
"Det Frie Forskningsrad",1
"Deutsche Krebshilfe",1
"Deutscher Akademischer Austauschdienst",1
"Division of Social and Economic Sciences",1
"East China Normal University",1
"Educational Testing Service",1
"Eesti Teadusagentuur",1
"Electronic Components and Systems for European Leadership",1
"Estonian Research Council",1
"Ethereum Foundation",1
"Exploratory Research for Advanced Technology",1
"Fonds de Recherche du Quebec",1
"Fundacao de Amparo a Ciencia e Tecnologia do Estado de Pernambuco",1
"Fundacao de Amparo a Pesquisa do Estado de Sao Paulo",1
"Fundacao de Apoio a Pesquisa do Distrito Federal",1
"General Research Fund of Shanghai Normal University",1
"German-Israeli Foundation for Scientific Research and Development",1
"Gobierno de Aragón",1
"Google",1
"Graduate Innovative Special Fund Projects of Jiangxi Province",1
"Hangzhou High-Flyer AI Fundamental Research Co., Ltd.",1
"Hefei University of Technology",1
"Heinz Nixdorf Stiftung",1
"Huawei",1
"Huawei Technologies",1
"Innovate UK",1
"Innovation and Technology Commission",1
"Innovation and Technology Fund",1
"Innovationsfonden",1
"Institut national de recherche en informatique et en automatique (INRIA)",1
"Instituto Nacional de Ciencia e Tecnologia para Engenharia de Software",1
"Intel Corporation",1
"Key Laboratory for Magnetic Resonance and Multimodality Imaging of Guangdong Province",1
"Key Research and Development Program of Zhejiang Province",1
"Key Science and Technology Research Project in Jiangxi Province Department of Education",1
"King Abdulaziz City for Science and Technology",1
"Kirke-, Utdannings- og Forskningsdepartementet",1
"Kyungpook National University",1
"Libera UniversitÃ  di Bolzano",1
"Lockheed Martin",1
"Louisiana Academy of Sciences",1
"Louisiana State University",1
"Microsoft",1
"Microsoft Research",1
"Microsoft Research Asia",1
"Ministerio da Ciencia, Tecnologia e Inovacao",1
"Ministry of Education of the People's Republic of China",1
"Ministry of Education, Science and Technology",1
"Ministry of Science and Technology of the People's Republic of China",1
"National Key Clinical Specialty Discipline Construction Program of China",1
"National Research Council Canada",1
"Natural Science Foundation of Beijing Municipality",1
"Natural Science Foundation of Chongqing Municipality",1
"Natural Science Foundation of Fujian Province",1
"Natural Science Foundation of Hebei Province",1
"Natural Science Foundation of Hubei Province",1
"Natural Science Foundation of Shanghai",1
"Natural Science Foundation of Sichuan Province",1
"Ontario Ministry of Research, Innovation and Science",1
"Oregon State University",1
"Osaka University",1
"Pennsylvania State University",1
"Qinglan Project of Jiangsu Province of China",1
"Royal Academy of Engineering",1
"Samsung",1
"Science and Technology Commission of Shanghai Municipality",1
"Science and Technology Project of State Grid",1
"Science, Technology and Innovation Commission of Shenzhen Municipality",1
"Shenzhen University",1
"Singapore University of Technology and Design",1
"Small Business Innovation Research",1
"Stiftelsen foer Kunskaps- och Kompetensutveckling",1
"Stiftelsen foer Strategisk Forskning",1
"U.S. Air Force",1
"Universidad de Buenos Aires",1
"Universidad de Córdoba",1
"Universidad Rey Juan Carlos",1
"Universita degli Studi dell'Insubria",1
"Universitaetsklinikum Wuerzburg",1
"University College London",1
"University of Adelaide",1
"University of Alberta",1
"University of British Columbia",1
"University of Calgary",1
"University of Gothenburg",1
"University of Manchester",1
"University of Massachusetts Amherst",1
