ABSTRACT,AUTHORKEYWORDS,AUTHORS,BOOKTITLE,DOI,FUNDINGDETAILS,FUNDINGDETAILSCOUNTRY,FUNDINGTEXT,KEYWORDS,NOTE,TITLE,VENUE,YEAR,SOURCE,TYPE
"AFL is one of the most used and extended fuzzers, adopted by industry and academic researchers alike. Although the community agrees on AFL's effectiveness at discovering new vulnerabilities and its outstanding usability, many of its internal design choices remain untested to date. Security practitioners often clone the project ""as-is""and use it as a starting point to develop new techniques, usually taking everything under the hood for granted. Instead, we believe that a careful analysis of the different parameters could help modern fuzzers improve their performance and explain how each choice can affect the outcome of security testing, either negatively or positively. The goal of this work is to provide a comprehensive understanding of the internal mechanisms of AFL by performing experiments and by comparing different metrics used to evaluate fuzzers. This can help to show the effectiveness of some techniques and to clarify which aspects are instead outdated. To perform our study, we performed nine unique experiments that we carried out on the popular Fuzzbench platform. Each test focuses on a different aspect of AFL, ranging from its mutation approach to the feedback encoding scheme and its scheduling methodologies. Our findings show that each design choice affects different factors of AFL. Some of these are positively correlated with the number of detected bugs or the coverage of the target application, whereas other features are related to usability and reliability. Most important, we believe that the outcome of our experiments indicates which parts of AFL we should preserve in the design of modern fuzzers. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",AFL;  FuzzBench;  Fuzzing,"Fioraldi, A. and Mantovani, A. and Maier, D. and Balzarotti, D.",,10.1145/3580596,Advanced Research Projects Agency,United States,,"AFL;  Feedback encoding schemes;  Fuzzbench;  Fuzzing;  Internal design;  Performance;  Security practitioners;  Security testing;  Target application, Program debugging",cited By 1,Dissecting American Fuzzy Lop: A FuzzBench Evaluation,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Over the past decade, metamorphic testing has gained rapidly increasing attention from both academia and industry, particularly thanks to its high efficacy on revealing real-life software faults in a wide variety of application domains. On the basis of a set of metamorphic relations among multiple software inputs and their expected outputs, metamorphic testing not only provides a test case generation strategy by constructing new (or follow-up) test cases from some original (or source) test cases, but also a test result verification mechanism through checking the relationship between the outputs of source and follow-up test cases. Many efforts have been made to further improve the cost-effectiveness of metamorphic testing from different perspectives. Some studies attempted to identify ""good""metamorphic relations, while other studies were focused on applying effective test case generation strategies especially for source test cases. In this article, we propose improving the cost-effectiveness of metamorphic testing by leveraging the feedback information obtained in the test execution process. Consequently, we develop a new approach, namely feedback-directed metamorphic testing, which makes use of test execution information to dynamically adjust the selection of metamorphic relations and selection of source test cases. We conduct an empirical study to evaluate the proposed approach based on four laboratory programs, one GNU program, and one industry program. The empirical results show that feedback-directed metamorphic testing can use fewer test cases and take less time than the traditional metamorphic testing for detecting the same number of faults. It is clearly demonstrated that the use of feedback information about test execution does help enhance the cost-effectiveness of metamorphic testing. Our work provides a new perspective to improve the efficacy and applicability of metamorphic testing as well as many other software testing techniques. © 2023 Association for Computing Machinery.",adaptive partition testing;  Additional Key Words and PhrasesMetamorphic testing;  feedback control;  metamorphic relation;  random testing;  test execution,"Sun, C.-A. and Dai, H. and Liu, H. and Chen, T.Y.",,10.1145/3533314,Aeronautical Science Foundation of China,China,,"Application programs;  Feedback control;  Information use;  Open source software;  Software testing;  Verification;  Well testing, Adaptive partition testing;  Adaptive partitions;  Additional key word and phrasesmetamorphic testing;  Key words;  Metamorphic relations;  Metamorphic testing;  Partition testing;  Random testing;  Test case;  Test execution, Cost effectiveness",cited By 1,Feedback-Directed Metamorphic Testing,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Given a log and a specification, timed pattern matching aims at exhibiting for which start and end dates a specification holds on that log. For example, ""a given action is always followed by another action before a given deadline"". This problem has strong connections with monitoring real-time systems. We address here timed pattern matching in the presence of an uncertain specification, i.e., that may contain timing parameters (e.g., the deadline can be uncertain or unknown). We want to know for which start and end dates, and for what values of the timing parameters, a property holds. For instance, we look for the minimum or maximum deadline (together with the corresponding start and end dates) for which the property holds. We propose two frameworks for parametric timed pattern matching. The first one is based on parametric timed model checking. In contrast to most parametric timed problems, the solution is effectively computable. The second one is a dedicated method; not only we largely improve the efficiency compared to the first method, but we further propose optimizations with skipping. Our experiment results suggest that our algorithms, especially the second one, are efficient and practically relevant. © 2023 Association for Computing Machinery.",Monitoring;  parametric timed automata;  real-time systems,"Waga, M. and André, É. and Hasuo, I.",,10.1145/3517194,Agence Nationale de la Recherche,France,,"Interactive computer systems;  Model checking;  Pattern matching;  Specifications;  Uncertainty analysis, Optimisations;  Parametric timed automata;  Pattern-matching;  Property;  Real - Time system;  Timed model checking;  Timing parameters, Real time systems",cited By 3,Parametric Timed Pattern Matching,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Testing deep neural networks (DNNs) has garnered great interest in the recent years due to their use in many applications. Black-box test adequacy measures are useful for guiding the testing process in covering the input domain. However, the absence of input specifications makes it challenging to apply black-box test adequacy measures in DNN testing. The Input Distribution Coverage (IDC) framework addresses this challenge by using a variational autoencoder to learn a low dimensional latent representation of the input distribution, and then using that latent space as a coverage domain for testing. IDC applies combinatorial interaction testing on a partitioning of the latent space to measure test adequacy. Empirical evaluation demonstrates that IDC is cost-effective, capable of detecting feature diversity in test inputs, and more sensitive than prior work to test inputs generated using different DNN test generation methods. The findings demonstrate that IDC overcomes several limitations of white-box DNN coverage approaches by discounting coverage from unrealistic inputs and enabling the calculation of test adequacy metrics that capture the feature diversity present in the input space of DNNs. © 2023 Association for Computing Machinery.",Additional Key Words and PhrasesSoftware testing;  deep neural networks;  generative models;  test coverage,"Dola, S. and Dwyer, M.B. and Soffa, M.L.",,10.1145/3576040,Air Force Office of Scientific Research,United States,"This material is based in part upon work supported by National Science Foundation awards 2019239 and 2129824, by The Air Force Office of Scientific Research under award number FA9550-21-0164, and by Lockheed Martin Advanced Technology Laboratories.","Black-box testing;  Cost effectiveness, Additional key word and phrasessoftware testing;  Black box test;  Feature interactions;  Generative model;  Input distributions;  Key words;  Neural-networks;  Test adequacies;  Test inputs;  Test-coverage, Deep neural networks",cited By 2,Input Distribution Coverage: Measuring Feature Interaction Adequacy in Neural Network Testing,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Most software companies have extensive test suites and re-run parts of them continuously to ensure that recent changes have no adverse effects. Since test suites are costly to execute, industry needs methods for test case prioritisation (TCP). Recently, TCP methods use machine learning (ML) to exploit the information known about the system under test and its test cases. However, the value added by ML-based TCP methods should be critically assessed with respect to the cost of collecting the information. This article analyses two decades of TCP research and presents a taxonomy of 91 information attributes that have been used. The attributes are classified with respect to their information sources and the characteristics of their extraction process. Based on this taxonomy, TCP methods validated with industrial data and those applying ML are analysed in terms of information availability, attribute combination and definition of data features suitable for ML. Relying on a high number of information attributes, assuming easy access to system under test code and simplified testing environments are identified as factors that might hamper industrial applicability of ML-based TCP. The TePIA taxonomy provides a reference framework to unify terminology and evaluate alternatives considering the cost-benefit of the information attributes. © 2023 Association for Computing Machinery.",industry;  machine learning;  Regression testing;  taxonomy;  test case prioritisation,"Ramírez, A. and Feldt, R. and Romero, J.R.",,10.1145/3511805,Andalusian Regional Government,Spain,,"Cost benefit analysis;  Software testing;  Transmission control protocol, Adverse effect;  Classifieds;  Industry needs;  Machine-learning;  Re-runs;  Regression testing;  Software company;  Systems under tests;  Test case;  Test case prioritization, Machine learning",cited By 2,"A Taxonomy of Information Attributes for Test Case Prioritisation: Applicability, Machine Learning",ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Automated Driving Systems (ADS) have made great achievements in recent years thanks to the efforts from both academia and industry. A typical ADS is composed of multiple modules, including sensing, perception, planning, and control, which brings together the latest advances in different domains. Despite these achievements, safety assurance of ADS is of great significance, since unsafe behavior of ADS can bring catastrophic consequences. Testing has been recognized as an important system validation approach that aims to expose unsafe system behavior; however, in the context of ADS, it is extremely challenging to devise effective testing techniques, due to the high complexity and multidisciplinarity of the systems. There has been great much literature that focuses on the testing of ADS, and a number of surveys have also emerged to summarize the technical advances. Most of the surveys focus on the system-level testing performed within software simulators, and they thereby ignore the distinct features of different modules. In this article, we provide a comprehensive survey on the existing ADS testing literature, which takes into account both module-level and system-level testing. Specifically, we make the following contributions: (1) We survey the module-level testing techniques for ADS and highlight the technical differences affected by the features of different modules; (2) we also survey the system-level testing techniques, with focuses on the empirical studies that summarize the issues occurring in system development or deployment, the problems due to the collaborations between different modules, and the gap between ADS testing in simulators and the real world; and (3) we identify the challenges and opportunities in ADS testing, which pave the path to the future research in this field. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",ADS testing;  module-level testing;  system security;  system-level testing,"Tang, S. and Zhang, Z. and Zhang, Y. and Zhou, J. and Guo, Y. and Liu, S. and Guo, S. and Li, Y.-F. and Ma, L. and Xue, Y. and Liu, Y.",,10.1145/3579642,Anhui Provincial Department of Science and Technology,China,,"Deceleration, Automated driving system testing;  Automated driving systems;  Different domains;  Module-level testing;  Perception planning;  Planning and control;  System level testing;  System security;  System testing;  Testing technique, Software testing",cited By 4,A Survey on Automated Driving System Testing: Landscapes and Trends,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Containers are ubiquitous data structures that support a variety of manipulations on the elements, inducing the indirect value flows in the program. Tracking value flows through containers is stunningly difficult, because it depends on container memory layouts, which are expensive to be discovered.This work presents a fast and precise value-flow analysis framework called Anchor for the programs using containers. We introduce the notion of anchored containers and propose the memory orientation analysis to construct a precise value-flow graph. Specifically, we establish a combined domain to identify anchored containers and apply strong updates to container memory layouts. Anchor finally conducts a demand-driven reachability analysis in the value-flow graph for a client. Experiments show that it removes 17.1% spurious statements from thin slices and discovers 20 null pointer exceptions with 9.1% as its false-positive ratio, while the smashing-based analysis reports 66.7% false positives. Anchor scales to millions of lines of code and checks the program with around 5.12 MLoC within 5 hours. © 2023 Association for Computing Machinery.",Additional Key Words and PhrasesAbstract interpretation;  data structure analysis;  value-flow analysis,"Wang, C. and Wang, W. and Yao, P. and Shi, Q. and Zhou, J. and Xiao, X. and Zhang, C.",,10.1145/3565800,Ant Group,China,,"Data structures;  Flow graphs;  Graphic methods;  Value engineering, Additional key word and phrasesabstract interpretation;  Data structure analyse;  False positive;  Flow-graphs;  Key words;  Memory layout;  Structure analysis;  Ubiquitous data;  Value flow;  Value flow analysis, Containers",cited By 0,Anchor: Fast and Precise Value-flow Analysis for Containers via Memory Orientation,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"This article proves a structured program theorem for flowchart quantum programs. The theorem states that any flowchart quantum program is equivalent to a single quantum program that repeatedly executes a quantum measurement and a subprogram, so long as the measurement outcome is true. Moreover, their expected runtime, variance, and general moments are the same. This theorem simplifies the quantum program's verification significantly.-We derive an analytical characterization of the termination problem for quantum programs in polynomial time. Our procedure is more efficient and accurate with much simpler techniques than the analysis of this problem, as described in [29].-We compute the expected runtime analytically and exactly for quantum programs in polynomial time. This result improves the methods based on the weakest precondition calculus for the question recently developed in [31, 34].-We show that a single loop rule is a relatively complete Hoare logic for quantum programs after applying our structured theorem. Although using fewer rules, our method verifies a broader class of quantum programs, compared with the results in [45] and [56]. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",flowchart language;  Quantum programming;  structure programming;  while-language,"Yu, N.",,10.1145/3587154,Association pour la Recherche sur le Cancer,France,This work is supported by ARC Discovery Early Career Researcher Award DE180100156 and ARC Discovery Program DP210102449.,"Flowcharting;  Polynomial approximation;  Quantum theory, Flowchart language;  ITS applications;  Polynomial-time;  Program applications;  Quantum measurement;  Quantum programming;  Runtimes;  Single quantum;  Structure programming;  While-language, Application programs",cited By 0,Structured Theorem for Quantum Programs and its Applications,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Security Orchestration, Automation, and Response (SOAR) platforms integrate and orchestrate a wide variety of security tools to accelerate the operational activities of Security Operation Center (SOC). Integration of security tools in a SOAR platform is mostly done manually using APIs, plugins, and scripts. SOC teams need to navigate through API calls of different security tools to find a suitable API to define or update an incident response action. Analyzing various types of API documentation with diverse API format and presentation structure involves significant challenges such as data availability, data heterogeneity, and semantic variation for automatic identification of security tool APIs specific to a particular task. Given these challenges can have negative impact on SOC team's ability to handle security incident effectively and efficiently, we consider it important to devise suitable automated support solutions to address these challenges. We propose a novel learning-based framework for automated security tool API Recommendation for security Orchestration, automation, and response, APIRO. To mitigate data availability constraint, APIRO enriches security tool API description by applying a wide variety of data augmentation techniques. To learn data heterogeneity of the security tools and semantic variation in API descriptions, APIRO consists of an API-specific word embedding model and a Convolutional Neural Network (CNN) model that are used for prediction of top three relevant APIs for a task. We experimentally demonstrate the effectiveness of APIRO in recommending APIs for different tasks using three security tools and 36 augmentation techniques. Our experimental results demonstrate the feasibility of APIRO for achieving 91.9% Top-1 Accuracy. Compared to the state-of-the-art baseline, APIRO is 26.93%, 23.03%, and 20.87% improved in terms of Top-1, Top-2, and Top-3 Accuracy and outperforms the baseline by 23.7% in terms of Mean Reciprocal Rank (MRR). © 2023 Association for Computing Machinery.",API Recommendation;  Incident Response Plan;  Security Operation Center;  Security Orchestration;  security tool API;  SOAR,"Sworna, Z.T. and Islam, C. and Babar, M.A.",,10.1145/3512768,Australian Government,Australia,,"Semantics, API recommendation;  Augmentation techniques;  Data availability;  Data heterogeneity;  Incident response plans;  Security operation center;  Security orchestration;  Security orchestration, automation, and response;  Security tool API;  Security tools, Automation",cited By 2,APIRO: A Framework for Automated Security Tools API Recommendation,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
"Requirements Engineering (RE)-related activities require high collaboration between various roles in software engineering (SE), such as requirements engineers, stakeholders, developers, and so on. Their demographics, views, understanding of technologies, working styles, communication and collaboration capabilities make RE highly human-dependent. Identifying how ""human aspects""- such as motivation, domain knowledge, communication skills, personality, emotions, culture, and so on - might impact RE-related activities would help us improve RE and SE in general. This study aims at better understanding current industry perspectives on the influence of human aspects on RE-related activities, specifically focusing on motivation and personality, by targeting software practitioners involved in RE-related activities. Our findings indicate that software practitioners consider motivation, domain knowledge, attitude, communication skills and personality as highly important human aspects when involved in RE-related activities. A set of factors were identified as software practitioners' key motivational factors when involved in RE-related activities, along with important personality characteristics to have when involved in RE. We also identified factors that made individuals less effective when involved in RE-related activities and obtained some feedback on measuring individuals' performance when involved in RE. The findings from our study suggest various areas needing more investigation, and we summarise a set of key recommendations for further research. © 2023 Association for Computing Machinery.",Human aspects;  requirements engineering;  software engineering,"Hidellaarachchi, D. and Grundy, J. and Hoda, R. and Mueller, I.",,10.1145/3546943,Australian Research Council,Australia,,"Domain Knowledge;  Motivation;  Software engineering, Collaboration capabilities;  Communication and collaborations;  Communication capabilities;  Communication skills;  Domain knowledge;  Human aspects;  Knowledge communication;  Requirement engineering;  Software practitioners;  Working styles, Requirements engineering",cited By 5,The Influence of Human Aspects on Requirements Engineering-related Activities: Software Practitioners' Perspective,ACM Transactions on Software Engineering and Methodology,2023,TOSEM,journal
